"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"3N2AjgvL6Idel1GtE2srYb","Yes God - Mörda, Thakzin, Mhaw Keys Remix","Oscar Mbo, KG Smallz, MÖRDA, Thakzin, Mhaw Keys, Dearson","19","7","-1","ZA","2023-10-26","57","False","420229","YES GOD","2023-08-04","0.809","0.695","10","-11.967","0","0.0505","0.0384","0.205","0.0322","0.416","120.002","4"
"3RmhsiQszFnnixoOrLznAN","Uyangijabulisa","Fezeka Dlamini, Nomfundo Moh, Naledi","18","4","3","ZA","2023-10-26","61","False","288052","Uyangijabulisa","2023-08-18","0.703","0.442","11","-13.981","1","0.048","0.0129","8.79e-05","0.18","0.632","90.007","4"
"1NQCinyxiglxekxXVPEhnC","Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather)","Uncle Waffles, Ice Beats Slide, Sbuda Maleather","17","8","-2","ZA","2023-10-26","68","False","326048","SOLACE","2023-08-11","0.582","0.443","2","-11.856","1","0.0983","0.00758","0.5","0.0499","0.26","111.98","4"
"5PyDJG7SQRgWXefgexqIge","Agora Hills","Doja Cat","16","4","10","ZA","2023-10-26","79","True","265360","Scarlet","2023-09-20","0.755","0.687","8","-6.247","0","0.101","0.183","0.000177","0.125","0.381","123.01","4"
"5l4S6LVL1AQfZC01pypXl6","Tjina","Megadrumz, Lady Du","15","1","1","ZA","2023-10-26","64","False","319369","For Your Soul (Extended Edition)","2023-09-08","0.707","0.718","10","-9.083","0","0.0428","0.056","0.00729","0.287","0.502","112.984","4"
"5Jf3hmkf8WKKqxM4vM8rux","Eyami","Lwah Ndlunkulu","14","3","3","ZA","2023-10-26","61","False","260488","Eyami","2023-08-04","0.669","0.584","8","-7.419","1","0.108","0.447","0.0","0.0568","0.751","141.697","3"
"5R9zmvswQj0SRJ1XM0yTzU","Ngilele E Hotel","Killorbeezbeatz","13","2","1","ZA","2023-10-26","63","False","242155","Ngilele E Hotel","2023-08-28","0.811","0.706","9","-6.664","1","0.0429","0.000216","0.349","0.0551","0.581","113.014","4"
"7aqfrAY2p9BUSiupwk3svU","First Person Shooter (feat. J. Cole)","Drake, J. Cole","12","0","-5","ZA","2023-10-26","92","True","247444","For All The Dogs","2023-10-06","0.47","0.64","2","-7.779","1","0.32","0.0277","0.0","0.382","0.248","163.92","4"
"2YSzYUF3jWqb9YP9VXmpjE","IDGAF (feat. Yeat)","Drake, Yeat","11","3","-2","ZA","2023-10-26","93","True","260111","For All The Dogs","2023-10-06","0.663","0.67","8","-8.399","1","0.271","0.0464","8.92e-05","0.205","0.138","136.952","4"
"7Gc7tNSocAypLct0MYYzmk","Yini Ngathi (Insane)","Felo Le Tee, LeeMcKrazy, Keynote","10","0","3","ZA","2023-10-26","59","False","347148","Yini Ngathi","2023-10-13","0.869","0.549","10","-11.258","0","0.065","0.0295","0.0252","0.0679","0.146","112.028","4"
